Total repos: 539
11 32517 K snomiao_gaokao_timer_wallpaper
66 12335 K labolado_gaokao_2016-2020
97 11595 K tahanakabi_DRL-for-microgrid-energy-management
10 9022 K aaravarr_gaokao-helper
23 7994 K legrs_physics_notes
5 7839 K ChengYuqing1998_Data-analysis-of-An-exam-in-a-Chinese-high-school
25 7588 K liuhaopeng543_MathBook
3 7390 K Junior-High-School-Physics
8 6507 K Abdullah-Elafifi_A-Comparative-Study-on-Predicting-High-School-Student-Performance-Using-Neural-Networks-and-SVM
7 6263 K bahattinkoc_ATPL-PPL
4 5715 K anishgabey_High-School-Biology---Population-Simulations
2 5388 K iamsotedous_Multi-platform-College-Entrance-Examination-Volunteer-Prediction-System
7 5019 K Wtrwx_College-entrance-examination-English
7 4664 K Omid-Hassasfar_CHACAL_2024_Quantum_Computing_Basics_with_Qiskit
5 3614 K ConsciousMachines_PDF-to-EPUB-for-arXiv
6 3467 K yinxxyy_gaokao-assistant
5 3396 K xihong-m_gaokao-math
17 3292 K lmliheng_Gaokao_Math_Exam
30 3118 K apascualgarcia_maths4biology
5 3050 K zhendongli2008_Lecture-Notes-On-Quantum-Chemistry
29 2942 K lvecho_habit-word-learning
6 2859 K kushagharahi_Super-Fill-up
15 2849 K zhiayang_chemnotes
6 2731 K AFObject_MathPaper
2 2630 K wind-wing234_HIT-Advanced-Algorithm
28 2520 K yuhao-yang-cy_asphysics
4 2365 K project-asteria
4 2365 K woct0rdho_project-asteria
22 2318 K raghurama123_OrcaNotes
2 2306 K vikashg_Geometry-Reading-list
10 2269 K Ancient-Chinese-learning
10 2269 K HoldenCaulfieldofBDFZ_Ancient-Chinese-learning
5 2235 K baimaolv-cloud_gaokao-math-i
6 2233 K vfence_gaokaonote
5 2063 K bonly_gk
13 2008 K minireference_sympy_tutorial
10 1947 K minireference_sympytut_notebooks
4 1780 K aaronwangy_Data-Science-Cheatsheet
18 1656 K shaodongtang_gaokao_exam
8 1627 K yuhao-yang-cy_a2physics
12 1614 K fengxiao334455_history-gaokao-review
12 1614 K history-gaokao-review
11 1612 K HK-SHAO_English-Spider
21 1537 K antonyeagle_edl
2 1527 K SheldonCircleCooper_2027ChinaGaokao53math
6 1506 K NiuLee12138_java
16 1383 K VishnuSastryHK_KCETCollegePredictor
22 1336 K ayushcodes74_EduShare
5 1316 K JAVVYNALIKA_JAVVY-NALIKA-EDUCATION
34 1309 K JunningWu_Learning-NVDLA-Notes
3 1292 K cirosantilli_cirosantilli
8 1289 K Agnij-Mallick_maths_formulae
3 1185 K yangziyu2006_Gaokao-maths
7 1165 K Flians_GaokaoHelper
2 1103 K SXUNLP_GCRC
38 1008 K boazbk_crypto
3 972 K MaheshShukla1_SOC-Analyst-Notes
9 940 K hoganbin_Math-Competition-Problem-Solving
30 938 K rpmuller_PracticalQuantumChemistry
9 875 K shawkynasr_HSK-official-Query-System
10 862 K criwits_gaokao-writing-materials
13 826 K 272252056-maker_gaokao-study
9 826 K Cabbage-xy_gaokao
3 822 K giacomo-giacomo_datacross
19 788 K baimaolv-cloud_zhejiang-gaokao-physics-knowledge-graph
19 788 K zhejiang-gaokao-physics-knowledge-graph
5 775 K Nitrosaccharose_qt-learning-guide
4 763 K AbdulMoiz-Ali_Math-Methods-JavaScript
15 754 K viveknathani_teachyourselfmath
3 752 K rishabhathiya_Bank-Marketing
11 730 K Hel1um17_GaoKaoHelper
8 715 K atulranjan45_college-predictor
7 697 K fernandomachado90_codebook
21 643 K akshat-OwO_syllabusx-client
7 634 K WangHong-yang_iknow-gaokao-region
12 619 K jefferywmoore_CISSP-Study-Resources
3 599 K Somrat10369_HSC-DRL
11 589 K nju-websoft_CKGG
4 583 K Foodliker_gaokao-assistant
18 569 K toastte_chemistrylabs
17 564 K gonel1212_gaokao-writing-skill
22 551 K UnExplainableFish52_lokii.tech
9 549 K dilshan24142_NextStep
2 547 K sixhalls_gaokao-helper
16 510 K Gao-Chenkai_StudyPulse
6 494 K Adhumunt_NotesTeX
6 480 K hoanhan101_ultimate-go
2 475 K cooelf_OneshotQA
9 447 K devrafalko_exact-math
6 432 K prrmzz_RAG-for-Iranian-High-School-Biology-Textbook
3 432 K edoardottt_eJPT-notes
13 418 K PatriotBo_gaokao-guide-2026
40 407 K KaiserKatze_mathematical-notes
10 397 K Axellwppr_splitter
10 396 K mariotaku_gaokao-countdown
9 378 K ferrnd_book-club-mobile-frontend
6 363 K PepperinoHu_gaokao_mcq_answering
16 355 K shiyuanyeming-hub_gaokao-volunteer-assistant
2 350 K pcz17631455825-dev_Chinese-GaoKao-zhiyuan
6 347 K star-power0_gaokao-math-ai-eval
6 341 K arkilpatel_SVAMP
5 338 K Grenz1inie_remove-chaoxing-paper-answer
29 327 K atyre2_NRES450_book
10 326 K sujanroydev_Knowlet
3 316 K MaheshShukla1_CompTIA-Security-Plus-SY0-701-Notes-CheatSheet-Exam-Prep
7 302 K wzekin_gaokao-tutor-behind
18 295 K sjpfenninger_modelling-energy-systems
9 294 K KevinLatino_Peritazgo-Website
22 287 K annalieb_MitosisProj
33 287 K ChinoArror_gaokao-english-grader-1
2 285 K carlosaenz26_stochastics-process
3 283 K sscx168_gaokao-math-parent-companion
11 278 K dymx101_gaokao-math-system
22 277 K KSICHT-org_ksicht
12 267 K igweek_gaokao-english
13 264 K shengdabai_gaokao-assistant
7 262 K shynloc_2026-gaokao-english
5 261 K fengxiao334455_word-remember-static
14 258 K qiyang180_gaokao-score-assistant
20 257 K shengdabai_gaokao-review
9 253 K meltflake_gaokao-guide
3 241 K sunwanjing605-byte_gaokao-guide
7 241 K 2024-China-Gaokao-Math
7 241 K ajsadhotmail_2024-China-Gaokao-Math
29 240 K ahrm_sioyek
3 240 K RichardLiu-sudo_gaokao-study-abroad
5 239 K jgajera_CS6750-Human-Computer-Interaction
4 236 K AJLoveChina_Senior-high-school-evening-study-time
17 232 K nculwell_MathStudy
16 230 K Renatochaz_Mathematics_for_Machine_Learning
14 226 K Hackerspace-Community_GyanSangrah
10 206 K RealRayLin_GaoKaoHelper-AIzyj-website
8 206 K wzekin_Gaokao-tutor-webapp
17 204 K shengdabai_gaokao-study-materials
18 202 K EldiiarBekbolotov_mathstudy
4 197 K boris-dotv_Pendulum_Period_Analysis.v
7 196 K dymx101_gaokao-english
6 192 K henrw_GaoKaoEnglishEssayGrading
16 183 K Mattral_SIMD-Microkernels-for-ML-Workloads
3 182 K Abdulhamid97Mousa_RHCSA-EX200
15 180 K LUOLIN926_exam-clock
16 179 K ocapraro_obsidian-math-plus
3 175 K BlackZhangJX_Android-Notes
8 173 K ZCX-Priv_GaoKao-Countdown
1 172 K Linyuan-ddd_gaokao-assistant
13 168 K UCMercedChem225Spring2019_LiteratureReviews
12 166 K SethClydesdale_tobira-study-resources
4 161 K SimonsTang_feifei-companion
21 160 K Brute-f0rce_CEH
1 145 K Spico197_gaokao2026-major-guide
5 145 K mrmohitush-commits_gurukul10.github.io
11 144 K yiyi20071009-dot_gaokao-english
17 141 K seguinleo_Notida
8 139 K ekShiksha
16 138 K yangnan929-wq_Gaokao-application-guide
7 138 K dev-aditya_LaTeX-template
9 137 K HikariBoy_Adri-Ardu-Scope
14 136 K apchrme_phoxiv
10 135 K AkagawaTsurunaki_GaoKaoStat
11 133 K Tim55667757_FuzzyClassificator
12 132 K Chenwenwen1007_China-query-of-college-admission-score
7 132 K wrdnsffy_Student-Performance-Clustering
15 130 K YuxuanWang-CHINA_Success2021
3 129 K budaLi_-Learning-materials-
12 126 K HiBert-He_gaokao-guide
5 123 K lindongnote_lindong-junior-note
7 121 K buildcodeit_CBSE
11 118 K MartinsTshepo_studyhive
39 113 K kevin2li_PDF-Guru
5 111 K ZeoxCode_gaokao-advisor-skill
11 108 K ze886_gaokao-math
12 108 K CalebJohn_joplin-math-mode
19 107 K chemplusplus_chemplusplus.github.io
15 106 K foradian_fedena-bbb
49 105 K aneesh331_calculator-programs
8 102 K Zhang21901_gaokao-knowledge-map
9 100 K simonesavi_lfcs
5 98 K YSGStudyHards_DotNetGuide
8 98 K Gavin-Song_AP-Chem-Notes
8 96 K ezraweng21_clementsbiologyclub-website
2 96 K ZYP1564_ncwu-gaokao
2 95 K Saff9_Genz-Smart-LearnX
8 95 K Atlas-did_Moirca
13 95 K Ae486_exp_gaokaoHelper
17 90 K CSUDerrick_gaokao-english-docx-pipeline
7 90 K alchaincyf_zhangxuefeng-skill
1 89 K XY-QXH_hainan-gaokao-guide
19 89 K zhangzhe197_College-Entrance-Examination-Volunteer-Filling-Auxiliary-System
11 89 K Shawn-Guo-CN_NN4Gaokao
14 87 K leapeng_gaokao-volunteer-assistant
8 84 K rainewhk_gaokao-chinese
2 84 K monokumazx_Bilingual_Chinese_English_Education_Mathematics
