src/cli/structuredIO.ts(178,35): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(287,46): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(290,33): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(297,32): error TS2769: No overload matches this call.
src/cli/structuredIO.ts(374,50): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(385,46): error TS2339: Property 'toolUseID' does not exist on type 'unknown'.
src/cli/structuredIO.ts(396,51): error TS2345: Argument of type 'StdinMessage' is not assignable to parameter of type 'SDKControlResponse'.
src/cli/structuredIO.ts(401,37): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(408,41): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/structuredIO.ts(412,36): error TS2769: No overload matches this call.
src/cli/structuredIO.ts(451,19): error TS2339: Property 'message' does not exist on type 'StdinMessage | { type: "user"; message: unknown; parent_tool_use_id?: string; isSynthetic?: boolean; tool_use_result?: unknown; priority?: "now" | "next" | "later"; timestamp?: string; uuid?: string; session_id?: string; } | ... 15 more ... | { ...; }'.
src/cli/structuredIO.ts(453,45): error TS2339: Property 'message' does not exist on type 'StdinMessage | { type: "user"; message: unknown; parent_tool_use_id?: string; isSynthetic?: boolean; tool_use_result?: unknown; priority?: "now" | "next" | "later"; timestamp?: string; uuid?: string; session_id?: string; } | ... 15 more ... | { ...; }'.
src/cli/structuredIO.ts(821,36): error TS2345: Argument of type '({ type: "addRules"; rules: { toolName: string; ruleContent?: string; }[]; behavior: "allow" | "deny" | "ask"; destination: "userSettings" | "projectSettings" | "localSettings" | "session" | "cliArg"; } | ... 4 more ... | { ...; })[]' is not assignable to parameter of type 'PermissionUpdate[]'.
src/cli/structuredIO.ts(825,13): error TS2345: Argument of type '({ type: "addRules"; rules: { toolName: string; ruleContent?: string; }[]; behavior: "allow" | "deny" | "ask"; destination: "userSettings" | "projectSettings" | "localSettings" | "session" | "cliArg"; } | ... 4 more ... | { ...; })[]' is not assignable to parameter of type 'PermissionUpdate[]'.
