src/cli/transports/ccrClient.ts(144,23): error TS2339: Property 'type' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(146,30): error TS2339: Property 'message' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(147,58): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; }'.
src/cli/transports/ccrClient.ts(149,43): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; }'.
src/cli/transports/ccrClient.ts(151,18): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type 'EventPayload'.
src/cli/transports/ccrClient.ts(157,21): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(158,21): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(160,20): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type 'EventPayload'.
src/cli/transports/ccrClient.ts(163,61): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; }'.
src/cli/transports/ccrClient.ts(166,20): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type 'EventPayload'.
src/cli/transports/ccrClient.ts(169,42): error TS2339: Property 'index' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(173,21): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(174,26): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(175,26): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(176,21): error TS2345: Argument of type 'unknown' is not assignable to parameter of type 'string'.
src/cli/transports/ccrClient.ts(184,11): error TS2322: Type 'unknown' is not assignable to type 'string'.
src/cli/transports/ccrClient.ts(185,11): error TS2322: Type 'unknown' is not assignable to type 'string'.
src/cli/transports/ccrClient.ts(186,11): error TS2322: Type 'unknown' is not assignable to type 'string'.
src/cli/transports/ccrClient.ts(189,30): error TS2339: Property 'index' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(198,18): error TS2345: Argument of type 'SDKPartialAssistantMessage' is not assignable to parameter of type 'EventPayload'.
src/cli/transports/ccrClient.ts(376,20): error TS2339: Property 'retryAfterMs' does not exist on type 'RequestResult'.
src/cli/transports/ccrClient.ts(399,20): error TS2339: Property 'retryAfterMs' does not exist on type 'RequestResult'.
src/cli/transports/ccrClient.ts(428,57): error TS2339: Property 'retryAfterMs' does not exist on type 'RequestResult'.
src/cli/transports/ccrClient.ts(743,35): error TS2345: Argument of type 'StdoutMessage' is not assignable to parameter of type 'SDKPartialAssistantMessage'.
src/cli/transports/ccrClient.ts(754,68): error TS2345: Argument of type 'StdoutMessage' is not assignable to parameter of type '{ session_id: string; parent_tool_use_id: string; message: { id: string; }; }'.
src/cli/transports/ccrClient.ts(793,21): error TS2339: Property 'type' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(794,23): error TS2339: Property 'delta' does not exist on type 'unknown'.
src/cli/transports/ccrClient.ts(795,19): error TS2339: Property 'type' does not exist on type 'unknown'.
