src/commands/insights.ts(125,13): error TS2322: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
src/commands/insights.ts(134,53): error TS2345: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
src/commands/insights.ts(151,17): error TS2322: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
src/commands/insights.ts(158,33): error TS2339: Property 'endsWith' does not exist on type 'NonSharedBuffer'.
src/commands/insights.ts(160,53): error TS2345: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
src/commands/insights.ts(161,58): error TS2345: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
src/commands/insights.ts(896,37): error TS2345: Argument of type 'AssistantMessageContent' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
src/commands/insights.ts(1039,37): error TS2345: Argument of type 'AssistantMessageContent' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
src/commands/insights.ts(1589,37): error TS2345: Argument of type 'AssistantMessageContent' is not assignable to parameter of type 'readonly { readonly type: string; }[]'.
src/commands/insights.ts(2755,5): error TS2322: Type 'Dirent<string>[]' is not assignable to type 'Dirent<NonSharedBuffer>[]'.
src/commands/insights.ts(2762,38): error TS2345: Argument of type 'NonSharedBuffer' is not assignable to parameter of type 'string'.
