src/components/Messages.tsx(58,5): error TS2339: Property 'agentDefinitions' does not exist on type '{}'.
src/components/Messages.tsx(411,51): error TS2339: Property 'some' does not exist on type 'string | ContentBlockParam[]'.
src/components/Messages.tsx(514,109): error TS2345: Argument of type '(AttachmentMessage | UserMessage | AssistantMessage | SystemMessage)[]' is not assignable to parameter of type '{ type: string; subtype?: string; isMeta?: boolean; isApiErrorMessage?: boolean; message?: { content: { type: string; name?: string; tool_use_id?: string; }[]; }; attachment?: { type: string; isMeta?: boolean; origin?: unknown; commandMode?: string; }; }[]'.
src/components/Messages.tsx(514,207): error TS2345: Argument of type '(AttachmentMessage | UserMessage | AssistantMessage | SystemMessage)[]' is not assignable to parameter of type '{ type: string; isMeta?: boolean; message?: { content: { type: string; name?: string; }[]; }; }[]'.
src/components/Messages.tsx(519,23): error TS2345: Argument of type '(AttachmentMessage | UserMessage | AssistantMessage | SystemMessage)[] | { type: string; isMeta?: boolean; message?: { ...; }; }[]' is not assignable to parameter of type 'MessageWithoutProgress[]'.
src/components/Messages.tsx(521,61): error TS2345: Argument of type '(AttachmentMessage | UserMessage | AssistantMessage | SystemMessage)[] | { type: string; isMeta?: boolean; message?: { ...; }; }[]' is not assignable to parameter of type 'Message[]'.
src/components/Messages.tsx(541,55): error TS2345: Argument of type 'Message[]' is not assignable to parameter of type 'readonly { uuid: string; }[]'.
src/components/Messages.tsx(583,9): error TS2367: This comparison appears to be unintentional because the types '"progress" | "user" | "assistant" | "system" | "tool_use_summary" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use"' and '"collapsed_read_search"' have no overlap.
src/components/Messages.tsx(622,29): error TS2367: This comparison appears to be unintentional because the types '"progress" | "user" | "assistant" | "system" | "tool_use_summary" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use"' and '"collapsed_read_search"' have no overlap.
src/components/Messages.tsx(679,73): error TS2322: Type '{ agentDefinitions: AgentDefinitionsResult; }' is not assignable to type 'IntrinsicAttributes & object'.
src/components/Messages.tsx(820,46): error TS2339: Property 'every' does not exist on type 'unknown'.
src/components/Messages.tsx(826,10): error TS2678: Type '"collapsed_read_search"' is not comparable to type '"progress" | "user" | "assistant" | "system" | "tool_use_summary" | "attachment" | "hook_result" | "tombstone" | "grouped_tool_use"'.
