src/main.tsx(264,62): error TS2349: This expression is not callable.
src/main.tsx(274,5): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(344,9): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(423,7): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(1124,25): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(1128,9): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(1487,9): error TS2322: Type '{ [x: string]: unknown; }' is not assignable to type 'Record<string, ScopedMcpServerConfig>'.
src/main.tsx(1500,84): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(1700,9): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(1903,9): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(2039,17): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(2105,11): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(2190,49): error TS2339: Property 'message' does not exist on type 'OrgValidationResult'.
src/main.tsx(2449,44): error TS2339: Property 'message' does not exist on type 'OrgValidationResult'.
src/main.tsx(2625,13): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(2837,7): error TS2322: Type '{ teamName: string; teamFilePath: string; leadAgentId: string; selfAgentId?: string; selfAgentName?: string; isLeader?: boolean; selfAgentColor?: string; teammates: { [teammateId: string]: { name: string; agentType?: string; ... 5 more ...; spawnedAt: number; }; }; } | { ...; }' is not assignable to type '{ teamName: string; teamFilePath: string; leadAgentId: string; selfAgentId?: string; selfAgentName?: string; isLeader?: boolean; selfAgentColor?: string; teammates: { [teammateId: string]: { name: string; agentType?: string; ... 5 more ...; spawnedAt: number; }; }; }'.
src/main.tsx(2862,36): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(2998,2): error TS2339: Property 'createLocalSSHSession' does not exist on type 'typeof import("D:/doge-code/src/ssh/createSSHSession")'.
src/main.tsx(2999,2): error TS2339: Property 'SSHSessionError' does not exist on type 'typeof import("D:/doge-code/src/ssh/createSSHSession")'.
src/main.tsx(3017,40): error TS2554: Expected 0 arguments, but got 2.
src/main.tsx(3375,7): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(3610,5): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(3809,28): error TS2339: Property 'port' does not exist on type 'Promise<any>'.
src/main.tsx(3816,4): error TS2322: Type 'number' is not assignable to type 'string'.
src/main.tsx(3823,11): error TS2339: Property 'stop' does not exist on type 'Promise<any>'.
src/main.tsx(3851,217): error TS2345: Argument of type '(ccUrl: string, opts: { print?: string | boolean; outputFormat: string; }) => Promise<void>' is not assignable to parameter of type '(this: Command<[string], { ...; }, {}>, args_0: string, args_1: { print?: string | true; outputFormat?: string; }, args_2: Command<[string], { print?: string | true; outputFormat?: string; }, {}>) => void | Promise<...>'.
src/main.tsx(4161,5): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(4172,5): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(4196,5): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(4230,7): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
src/main.tsx(4390,8): error TS2367: This comparison appears to be unintentional because the types '"external"' and '"ant"' have no overlap.
