
full_name                                     stargazers_cou
                                                          nt
---------                                     --------------
obra/superpowers                                      269732
affaan-m/ECC                                          239028
anomalyco/opencode                                    195434
ultraworkers/claw-code                                195016
x1xhlol/system-prompts-and-models-of-ai-tools         142684
anthropics/claude-code                                140837
farion1231/cc-switch                                  125941
VoltAgent/awesome-design-md                           107451
openai/codex                                          104954
DietrichGebert/ponytail                                99335
thedotmack/claude-mem                                  90215
earendil-works/pi                                      86015
addyosmani/agent-skills                                85140
nexu-io/open-design                                    84743
bytedance/deer-flow                                    79609
Leonxlnx/taste-skill                                   74603
shareAI-lab/learn-claude-code                          73662
ansible/ansible                                        70276
openinterpreter/openinterpreter                        67920
code-yeongyu/oh-my-openagent                           67567
ruvnet/ruflo                                           67505
cline/cline                                            65926
headroomlabs-ai/headroom                               65654
colbymchenry/codegraph                                 65584
shanraisshan/claude-code-best-practice                 64224
aaif-goose/goose                                       52608
hesreallyhim/awesome-claude-code                       52000
ChromeDevTools/chrome-devtools-mcp                     48818
calesthio/OpenMontage                                  46322
abhigyanpatwari/GitNexus                               45216
multica-ai/multica                                     44933
coreyhaines31/marketingskills                          43687
danny-avila/LibreChat                                  41859
luongnv89/claude-howto                                 40949
stablyai/orca                                          40829
wshobson/agents                                        38653
Yeachan-Heo/oh-my-claudecode                           38457
continuedev/continue                                   35411
esengine/DeepSeek-Reasonix                             33449
K-Dense-AI/scientific-agent-skills                     33060
iOfficeAI/AionUi                                       31769
JCodesMore/ai-website-cloner-template                  31481
VoltAgent/awesome-agent-skills                         29899
huggingface/smolagents                                 28735
oraios/serena                                          27782
BloopAI/vibe-kanban                                    27717
mukul975/Anthropic-Cybersecurity-Skills                27517
jarrodwatts/claude-hud                                 27247
charmbracelet/crush                                    27223
zarazhangrui/frontend-slides                           27187
google-labs-code/design.md                             27092
QwenLM/qwen-code                                       26884
Kilo-Org/kilocode                                      26796
rohitg00/agentmemory                                   26792
Fosowl/agenticSeek                                     26776
openai/symphony                                        26495
herdrdev/herdr                                         26423
gastownhall/beads                                      26168
OthmanAdi/planning-with-files                          26070
manaflow-ai/cmux                                       25846
xai-org/grok-build                                     24540
RooCodeInc/Roo-Code                                    24352
alirezarezvani/claude-skills                           24184
Donchitos/Claude-Code-Game-Studios                     23725
agentsmd/agents.md                                     23537
can1357/oh-my-pi                                       23305
alchaincyf/huashu-design                               22699
winfunc/opcode                                         22364
NirDiamant/agents-towards-production                   21260
google/adk-python                                      21054
browser-use/video-use                                  20408
SWE-agent/SWE-agent                                    20034
alibaba/open-code-review                               19821
mksglu/context-mode                                    19749
KKKKhazix/khazix-skills                                19425
jnMetaCode/agency-agents-zh                            19090
datawhalechina/easy-vibe                               18832
ayghri/i-have-adhd                                     18782
TencentCloud/TencentDB-Agent-Memory                    18762
teng-lin/notebooklm-py                                 18587
labring/sealos                                         18318
liyupi/ai-guide                                        18183
GoogleCloudPlatform/generative-ai                      17567
QwenLM/Qwen-Agent                                      16941
HKUDS/DeepCode                                         16322
GLips/Figma-Context-MCP                                15621
plandex-ai/plandex                                     15579
xbtlin/ai-berkshire                                    15306
chenhg5/cc-connect                                     14806
wanshuiyin/Auto-claude-code-research-in-sleep          14436
NVIDIA/SkillSpector                                    14425
NanmiCoder/cc-haha                                     14010
AgriciDaniel/claude-seo                                13824
opencode-ai/opencode                                   13626
greensock/gsap-skills                                  13305
getpaseo/paseo                                         12961
superset-sh/superset                                   12831
XiaomiMiMo/MiMo-Code                                   12699
InsForge/InsForge                                      12687
infracost/infracost                                    12443


